unit_number,unit_price,total_price,win,discount_rate,unit_margin,unit_sold_number,total_margin
12 ,16551 ,198612 ,1 ,0.33796 ,1551 ,12 ,18612 
24 ,16272 ,390523 ,0 ,0.34912 ,1272 ,0 ,0 
16 ,21266 ,340261 ,1 ,0.14936 ,6266 ,16 ,100256 
21 ,18805 ,394910 ,0 ,0.24780 ,3805 ,0 ,0 
27 ,15884 ,428864 ,0 ,0.36464 ,884 ,0 ,0 
13 ,22168 ,288180 ,0 ,0.11328 ,7168 ,0 ,0 
15 ,15226 ,228397 ,1 ,0.39096 ,226 ,15 ,3390 
27 ,18850 ,508961 ,0 ,0.24600 ,3850 ,0 ,0 
29 ,18755 ,543906 ,0 ,0.24980 ,3755 ,0 ,0 
20 ,22003 ,440053 ,0 ,0.11988 ,7003 ,0 ,0 
11 ,22064 ,242705 ,0 ,0.11744 ,7064 ,0 ,0 
21 ,18016 ,378330 ,1 ,0.27936 ,3016 ,21 ,63336 
26 ,15107 ,392791 ,0 ,0.39572 ,107 ,0 ,0 
20 ,17302 ,346042 ,0 ,0.30792 ,2302 ,0 ,0 
14 ,16008 ,224115 ,1 ,0.35968 ,1008 ,14 ,14112 
11 ,15610 ,171713 ,1 ,0.37560 ,610 ,11 ,6710 
31 ,18514 ,573924 ,1 ,0.25944 ,3514 ,31 ,108934 
17 ,15362 ,261156 ,1 ,0.38552 ,362 ,17 ,6154 
33 ,19088 ,629897 ,0 ,0.23648 ,4088 ,0 ,0 
13 ,20465 ,266041 ,0 ,0.18140 ,5465 ,0 ,0 
35 ,15488 ,542063 ,1 ,0.38048 ,488 ,35 ,17080 
24 ,15167 ,364012 ,1 ,0.39332 ,167 ,24 ,4008 
12 ,18111 ,217332 ,1 ,0.27556 ,3111 ,12 ,37332 
20 ,15207 ,304135 ,0 ,0.39172 ,207 ,0 ,0 
29 ,16143 ,468159 ,1 ,0.35428 ,1143 ,29 ,33147 
20 ,19660 ,393199 ,1 ,0.21360 ,4660 ,20 ,93200 
26 ,21565 ,560698 ,0 ,0.13740 ,6565 ,0 ,0 
22 ,18571 ,408563 ,0 ,0.25716 ,3571 ,0 ,0 
22 ,21697 ,477326 ,0 ,0.13212 ,6697 ,0 ,0 
17 ,15503 ,263554 ,1 ,0.37988 ,503 ,17 ,8551 
26 ,21566 ,560716 ,0 ,0.13736 ,6566 ,0 ,0 
11 ,16107 ,177175 ,1 ,0.35572 ,1107 ,11 ,12177 
14 ,19766 ,276726 ,0 ,0.20936 ,4766 ,0 ,0 
15 ,21035 ,315520 ,0 ,0.15860 ,6035 ,0 ,0 
11 ,18901 ,207915 ,0 ,0.24396 ,3901 ,0 ,0 
37 ,19377 ,716937 ,0 ,0.22492 ,4377 ,0 ,0 
30 ,20085 ,602538 ,0 ,0.19660 ,5085 ,0 ,0 
34 ,19958 ,678577 ,0 ,0.20168 ,4958 ,0 ,0 
16 ,16375 ,261995 ,1 ,0.34500 ,1375 ,16 ,22000 
12 ,20762 ,249144 ,0 ,0.16952 ,5762 ,0 ,0 
24 ,16090 ,386165 ,0 ,0.35640 ,1090 ,0 ,0 
12 ,19039 ,228469 ,0 ,0.23844 ,4039 ,0 ,0 
11 ,21591 ,237496 ,0 ,0.13636 ,6591 ,0 ,0 
24 ,17746 ,425908 ,0 ,0.29016 ,2746 ,0 ,0 
16 ,17846 ,285531 ,1 ,0.28616 ,2846 ,16 ,45536 
16 ,22231 ,355696 ,0 ,0.11076 ,7231 ,0 ,0 
20 ,22435 ,448701 ,0 ,0.10260 ,7435 ,0 ,0 
22 ,21569 ,474519 ,0 ,0.13724 ,6569 ,0 ,0 
14 ,22473 ,314626 ,0 ,0.10108 ,7473 ,0 ,0 
35 ,19406 ,679214 ,0 ,0.22376 ,4406 ,0 ,0 
31 ,15833 ,490825 ,1 ,0.36668 ,833 ,31 ,25823 
38 ,16618 ,631482 ,1 ,0.33528 ,1618 ,38 ,61484 
16 ,17980 ,287684 ,1 ,0.28080 ,2980 ,16 ,47680 
13 ,18889 ,245552 ,0 ,0.24444 ,3889 ,0 ,0 
15 ,21427 ,321398 ,0 ,0.14292 ,6427 ,0 ,0 
14 ,21510 ,301139 ,0 ,0.13960 ,6510 ,0 ,0 
17 ,15937 ,270933 ,0 ,0.36252 ,937 ,0 ,0 
12 ,15163 ,181955 ,1 ,0.39348 ,163 ,12 ,1956 
16 ,16612 ,265787 ,1 ,0.33552 ,1612 ,16 ,25792 
17 ,18653 ,317106 ,1 ,0.25388 ,3653 ,17 ,62101 
10 ,17955 ,179554 ,0 ,0.28180 ,2955 ,0 ,0 
10 ,20597 ,205971 ,0 ,0.17612 ,5597 ,0 ,0 
20 ,19767 ,395346 ,0 ,0.20932 ,4767 ,0 ,0 
24 ,21145 ,507484 ,0 ,0.15420 ,6145 ,0 ,0 
11 ,16446 ,180904 ,1 ,0.34216 ,1446 ,11 ,15906 
12 ,19119 ,229424 ,1 ,0.23524 ,4119 ,12 ,49428 
37 ,21435 ,793084 ,0 ,0.14260 ,6435 ,0 ,0 
27 ,18568 ,501329 ,0 ,0.25728 ,3568 ,0 ,0 
22 ,22189 ,488153 ,0 ,0.11244 ,7189 ,0 ,0 
19 ,15514 ,294770 ,1 ,0.37944 ,514 ,19 ,9766 
10 ,15591 ,155915 ,1 ,0.37636 ,591 ,10 ,5910 
12 ,21864 ,262373 ,0 ,0.12544 ,6864 ,0 ,0 
12 ,18025 ,216301 ,0 ,0.27900 ,3025 ,0 ,0 
26 ,17168 ,446360 ,0 ,0.31328 ,2168 ,0 ,0 
29 ,17664 ,512259 ,1 ,0.29344 ,2664 ,29 ,77256 
39 ,16147 ,629750 ,0 ,0.35412 ,1147 ,0 ,0 
19 ,20859 ,396325 ,0 ,0.16564 ,5859 ,0 ,0 
13 ,17194 ,223516 ,0 ,0.31224 ,2194 ,0 ,0 
28 ,17503 ,490075 ,1 ,0.29988 ,2503 ,28 ,70084 
22 ,19281 ,424182 ,0 ,0.22876 ,4281 ,0 ,0 
12 ,15068 ,180814 ,1 ,0.39728 ,68 ,12 ,816 
27 ,19565 ,528264 ,0 ,0.21740 ,4565 ,0 ,0 
22 ,17823 ,392116 ,0 ,0.28708 ,2823 ,0 ,0 
19 ,15502 ,294545 ,1 ,0.37992 ,502 ,19 ,9538 
12 ,20727 ,248720 ,0 ,0.17092 ,5727 ,0 ,0 
26 ,22223 ,577806 ,0 ,0.11108 ,7223 ,0 ,0 
29 ,15910 ,461393 ,1 ,0.36360 ,910 ,29 ,26390 
20 ,20521 ,410420 ,0 ,0.17916 ,5521 ,0 ,0 
19 ,20770 ,394621 ,0 ,0.16920 ,5770 ,0 ,0 
44 ,17146 ,754429 ,0 ,0.31416 ,2146 ,0 ,0 
30 ,20779 ,623372 ,0 ,0.16884 ,5779 ,0 ,0 
29 ,15485 ,449064 ,1 ,0.38060 ,485 ,29 ,14065 
14 ,21092 ,295282 ,0 ,0.15632 ,6092 ,0 ,0 
27 ,17072 ,460939 ,1 ,0.31712 ,2072 ,27 ,55944 
25 ,21922 ,548045 ,0 ,0.12312 ,6922 ,0 ,0 
11 ,16617 ,182790 ,0 ,0.33532 ,1617 ,0 ,0 
27 ,17007 ,459180 ,0 ,0.31972 ,2007 ,0 ,0 
35 ,16495 ,577317 ,0 ,0.34020 ,1495 ,0 ,0 
20 ,15280 ,305606 ,1 ,0.38880 ,280 ,20 ,5600 
14 ,20670 ,289383 ,0 ,0.17320 ,5670 ,0 ,0 
14 ,17127 ,239782 ,1 ,0.31492 ,2127 ,14 ,29778 
17 ,21969 ,373479 ,0 ,0.12124 ,6969 ,0 ,0 
14 ,20846 ,291847 ,0 ,0.16616 ,5846 ,0 ,0 
14 ,17359 ,243020 ,0 ,0.30564 ,2359 ,0 ,0 
14 ,16158 ,226207 ,1 ,0.35368 ,1158 ,14 ,16212 
18 ,15729 ,283123 ,1 ,0.37084 ,729 ,18 ,13122 
19 ,19617 ,372717 ,0 ,0.21532 ,4617 ,0 ,0 
16 ,20870 ,333918 ,0 ,0.16520 ,5870 ,0 ,0 
29 ,21926 ,635851 ,0 ,0.12296 ,6926 ,0 ,0 
13 ,22121 ,287575 ,0 ,0.11516 ,7121 ,0 ,0 
11 ,19281 ,212093 ,0 ,0.22876 ,4281 ,0 ,0 
17 ,15893 ,270189 ,1 ,0.36428 ,893 ,17 ,15181 
23 ,15672 ,360447 ,0 ,0.37312 ,672 ,0 ,0 
15 ,18050 ,270756 ,1 ,0.27800 ,3050 ,15 ,45750 
15 ,20596 ,308937 ,0 ,0.17616 ,5596 ,0 ,0 
31 ,20049 ,621508 ,0 ,0.19804 ,5049 ,0 ,0 
17 ,17653 ,300105 ,0 ,0.29388 ,2653 ,0 ,0 
10 ,15969 ,159693 ,1 ,0.36124 ,969 ,10 ,9690 
13 ,21302 ,276929 ,0 ,0.14792 ,6302 ,0 ,0 
14 ,15058 ,210806 ,1 ,0.39768 ,58 ,14 ,812 
20 ,21639 ,432787 ,0 ,0.13444 ,6639 ,0 ,0 
20 ,17938 ,358769 ,0 ,0.28248 ,2938 ,0 ,0 
13 ,21925 ,285021 ,0 ,0.12300 ,6925 ,0 ,0 
34 ,18522 ,629744 ,0 ,0.25912 ,3522 ,0 ,0 
28 ,18038 ,505069 ,1 ,0.27848 ,3038 ,28 ,85064 
14 ,20227 ,283173 ,0 ,0.19092 ,5227 ,0 ,0 
14 ,21003 ,294045 ,0 ,0.15988 ,6003 ,0 ,0 
14 ,22324 ,312529 ,0 ,0.10704 ,7324 ,0 ,0 
28 ,20115 ,563221 ,0 ,0.19540 ,5115 ,0 ,0 
15 ,22062 ,330926 ,0 ,0.11752 ,7062 ,0 ,0 
20 ,17784 ,355684 ,1 ,0.28864 ,2784 ,20 ,55680 
13 ,17973 ,233653 ,0 ,0.28108 ,2973 ,0 ,0 
22 ,17709 ,389595 ,0 ,0.29164 ,2709 ,0 ,0 
15 ,18800 ,281995 ,0 ,0.24800 ,3800 ,0 ,0 
33 ,16750 ,552748 ,0 ,0.33000 ,1750 ,0 ,0 
21 ,18776 ,394303 ,0 ,0.24896 ,3776 ,0 ,0 
11 ,16742 ,184165 ,0 ,0.33032 ,1742 ,0 ,0 
22 ,20611 ,453449 ,1 ,0.17556 ,5611 ,22 ,123442 
18 ,19582 ,352468 ,0 ,0.21672 ,4582 ,0 ,0 
21 ,18228 ,382785 ,0 ,0.27088 ,3228 ,0 ,0 
18 ,16635 ,299432 ,0 ,0.33460 ,1635 ,0 ,0 
11 ,18337 ,201711 ,1 ,0.26652 ,3337 ,11 ,36707 
13 ,18355 ,238619 ,0 ,0.26580 ,3355 ,0 ,0 
15 ,22268 ,334017 ,0 ,0.10928 ,7268 ,0 ,0 
15 ,21937 ,329053 ,0 ,0.12252 ,6937 ,0 ,0 
26 ,17509 ,455231 ,0 ,0.29964 ,2509 ,0 ,0 
23 ,16449 ,378326 ,1 ,0.34204 ,1449 ,23 ,33327 
12 ,18325 ,219901 ,0 ,0.26700 ,3325 ,0 ,0 
15 ,20225 ,303378 ,0 ,0.19100 ,5225 ,0 ,0 
15 ,15541 ,233118 ,1 ,0.37836 ,541 ,15 ,8115 
26 ,15980 ,415471 ,0 ,0.36080 ,980 ,0 ,0 
24 ,18642 ,447401 ,0 ,0.25432 ,3642 ,0 ,0 
27 ,18930 ,511097 ,1 ,0.24280 ,3930 ,27 ,106110 
16 ,22377 ,358037 ,0 ,0.10492 ,7377 ,0 ,0 
20 ,15458 ,309156 ,1 ,0.38168 ,458 ,20 ,9160 
12 ,20078 ,240931 ,0 ,0.19688 ,5078 ,0 ,0 
27 ,16132 ,435567 ,0 ,0.35472 ,1132 ,0 ,0 
22 ,20307 ,446750 ,0 ,0.18772 ,5307 ,0 ,0 
16 ,17217 ,275475 ,0 ,0.31132 ,2217 ,0 ,0 
11 ,17960 ,197559 ,0 ,0.28160 ,2960 ,0 ,0 
16 ,18069 ,289112 ,1 ,0.27724 ,3069 ,16 ,49104 
10 ,19017 ,190170 ,1 ,0.23932 ,4017 ,10 ,40170 
28 ,21050 ,589407 ,0 ,0.15800 ,6050 ,0 ,0 
27 ,15968 ,431142 ,0 ,0.36128 ,968 ,0 ,0 
19 ,21902 ,416140 ,1 ,0.12392 ,6902 ,19 ,131138 
29 ,17703 ,513392 ,1 ,0.29188 ,2703 ,29 ,78387 
31 ,20024 ,620735 ,0 ,0.19904 ,5024 ,0 ,0 
11 ,17469 ,192157 ,1 ,0.30124 ,2469 ,11 ,27159 
30 ,19482 ,584474 ,0 ,0.22072 ,4482 ,0 ,0 
17 ,16758 ,284893 ,0 ,0.32968 ,1758 ,0 ,0 
11 ,15768 ,173451 ,1 ,0.36928 ,768 ,11 ,8448 
10 ,18614 ,186136 ,0 ,0.25544 ,3614 ,0 ,0 
17 ,16757 ,284876 ,1 ,0.32972 ,1757 ,17 ,29869 
17 ,18640 ,316887 ,1 ,0.25440 ,3640 ,17 ,61880 
14 ,18271 ,255789 ,0 ,0.26916 ,3271 ,0 ,0 
11 ,18130 ,199428 ,1 ,0.27480 ,3130 ,11 ,34430 
14 ,20868 ,292145 ,0 ,0.16528 ,5868 ,0 ,0 
21 ,21669 ,455059 ,0 ,0.13324 ,6669 ,0 ,0 
11 ,18844 ,207281 ,0 ,0.24624 ,3844 ,0 ,0 
16 ,19374 ,309977 ,0 ,0.22504 ,4374 ,0 ,0 
18 ,22378 ,402799 ,0 ,0.10488 ,7378 ,0 ,0 
22 ,15160 ,333525 ,1 ,0.39360 ,160 ,22 ,3520 
13 ,21798 ,283372 ,0 ,0.12808 ,6798 ,0 ,0 
20 ,15514 ,310278 ,0 ,0.37944 ,514 ,0 ,0 
19 ,22466 ,426849 ,0 ,0.10136 ,7466 ,0 ,0 
24 ,16989 ,407731 ,0 ,0.32044 ,1989 ,0 ,0 
12 ,15056 ,180674 ,1 ,0.39776 ,56 ,12 ,672 
19 ,20558 ,390600 ,0 ,0.17768 ,5558 ,0 ,0 
27 ,18054 ,487447 ,1 ,0.27784 ,3054 ,27 ,82458 
13 ,20461 ,265990 ,0 ,0.18156 ,5461 ,0 ,0 
16 ,15421 ,246734 ,1 ,0.38316 ,421 ,16 ,6736 
20 ,16363 ,327264 ,1 ,0.34548 ,1363 ,20 ,27260 
14 ,15021 ,210295 ,0 ,0.39916 ,21 ,0 ,0 
21 ,18203 ,382273 ,0 ,0.27188 ,3203 ,0 ,0 
13 ,16438 ,213690 ,1 ,0.34248 ,1438 ,13 ,18694 
22 ,20553 ,452172 ,0 ,0.17788 ,5553 ,0 ,0 
31 ,19910 ,617221 ,0 ,0.20360 ,4910 ,0 ,0 
19 ,15468 ,293900 ,1 ,0.38128 ,468 ,19 ,8892 
16 ,21636 ,346169 ,0 ,0.13456 ,6636 ,0 ,0 
11 ,19217 ,211389 ,0 ,0.23132 ,4217 ,0 ,0 
13 ,19835 ,257850 ,0 ,0.20660 ,4835 ,0 ,0 
13 ,18377 ,238895 ,1 ,0.26492 ,3377 ,13 ,43901 
19 ,18117 ,344226 ,1 ,0.27532 ,3117 ,19 ,59223 
25 ,15176 ,379390 ,1 ,0.39296 ,176 ,25 ,4400 
15 ,18645 ,279678 ,0 ,0.25420 ,3645 ,0 ,0 
34 ,15315 ,520718 ,1 ,0.38740 ,315 ,34 ,10710 
38 ,16062 ,610358 ,0 ,0.35752 ,1062 ,0 ,0 
19 ,21283 ,404386 ,0 ,0.14868 ,6283 ,0 ,0 
19 ,18806 ,357320 ,0 ,0.24776 ,3806 ,0 ,0 
10 ,15867 ,158668 ,1 ,0.36532 ,867 ,10 ,8670 
19 ,15489 ,294296 ,0 ,0.38044 ,489 ,0 ,0 
20 ,19049 ,380983 ,0 ,0.23804 ,4049 ,0 ,0 
31 ,17532 ,543506 ,1 ,0.29872 ,2532 ,31 ,78492 
31 ,18206 ,564371 ,0 ,0.27176 ,3206 ,0 ,0 
15 ,15309 ,229642 ,1 ,0.38764 ,309 ,15 ,4635 
17 ,15273 ,259649 ,1 ,0.38908 ,273 ,17 ,4641 
20 ,20660 ,413194 ,0 ,0.17360 ,5660 ,0 ,0 
13 ,21930 ,285092 ,0 ,0.12280 ,6930 ,0 ,0 
25 ,20616 ,515405 ,0 ,0.17536 ,5616 ,0 ,0 
18 ,15585 ,280535 ,1 ,0.37660 ,585 ,18 ,10530 
30 ,15982 ,479475 ,0 ,0.36072 ,982 ,0 ,0 
12 ,20199 ,242389 ,0 ,0.19204 ,5199 ,0 ,0 
25 ,21279 ,531964 ,0 ,0.14884 ,6279 ,0 ,0 
16 ,16648 ,266372 ,1 ,0.33408 ,1648 ,16 ,26368 
24 ,16232 ,389564 ,1 ,0.35072 ,1232 ,24 ,29568 
14 ,17316 ,242430 ,1 ,0.30736 ,2316 ,14 ,32424 
14 ,16473 ,230618 ,1 ,0.34108 ,1473 ,14 ,20622 
12 ,19852 ,238220 ,0 ,0.20592 ,4852 ,0 ,0 
17 ,20451 ,347675 ,1 ,0.18196 ,5451 ,17 ,92667 
12 ,18511 ,222136 ,1 ,0.25956 ,3511 ,12 ,42132 
12 ,18283 ,219398 ,1 ,0.26868 ,3283 ,12 ,39396 
23 ,18821 ,432890 ,0 ,0.24716 ,3821 ,0 ,0 
17 ,15169 ,257876 ,0 ,0.39324 ,169 ,0 ,0 
13 ,17240 ,224117 ,0 ,0.31040 ,2240 ,0 ,0 
10 ,16939 ,169392 ,1 ,0.32244 ,1939 ,10 ,19390 
27 ,21201 ,572435 ,0 ,0.15196 ,6201 ,0 ,0 
